lng,lat
-82.305275,29.663183
-82.314982,29.6639
-82.298383,29.663313
-82.293842,29.670947
-82.317888,29.657721
-82.312594,29.665258
-82.31184,29.663974
-82.309307,29.644541
-82.306408,29.666202
-82.307277,29.656831
-82.306141,29.66478
-82.303209,29.658011
-82.412915,29.651442
-82.402332,29.646388
-82.422188,29.655357
-82.423038,29.648684
-82.418958,29.644049
-82.41725,29.646078
-82.40746,29.675533
-82.415585,29.650442
-82.431971,29.647108
-82.401058,29.645137
-82.416452,29.655728
-82.412812,29.648127
-82.262825,29.673616
-82.256731,29.684354
-82.259837,29.672475
-82.264534,29.686989
-82.272017,29.685661
-82.254202,29.676168
-82.255453,29.673874
-82.265774,29.668256
-82.274309,29.668622
-82.24555,29.660299
-82.249643,29.691097
-82.39749,29.618403
-82.389711,29.610772
-82.394306,29.620951
-82.414628,29.607794
-82.38507,29.614133
-82.398982,29.615534
-82.394085,29.625486
-82.386422,29.613387
-82.389974,29.615695
-82.382512,29.619956
-82.412897,29.622866
-82.421878,29.609714
-82.417114,29.596228
-82.4228,29.606815
-82.426832,29.572559
-82.43173,29.605507
-82.41216,29.612034
-82.417967,29.597938
-82.411537,29.593582
-82.41522,29.599556
-82.39957,29.584853
-82.423426,29.601339
-82.41949,29.583012
-82.40243,29.594236
-82.405747,29.607838
-82.398477,29.604751
-82.401081,29.614229
-82.429197,29.614507
-82.407222,29.614591
-82.411934,29.613906
-82.41007,29.603624
-82.407782,29.618425
-82.41281,29.58443
-82.409246,29.604098
-82.41161,29.609638
-82.409954,29.61807
-82.397767,29.606096
-82.406163,29.606858
-82.411897,29.612596
-82.374832,29.734476
-82.358831,29.743998
-82.381346,29.736333
-82.375571,29.72166
-82.371034,29.739751
-82.369607,29.735538
-82.372598,29.739573
-82.367899,29.728045
-82.38719,29.724899
-82.37655,29.741296
-82.379839,29.734944
-82.282241,29.700452
-82.285853,29.685014
-82.294333,29.690943
-82.291411,29.689675
-82.272449,29.726206
-82.282028,29.709418
-82.285122,29.692222
-82.293997,29.715805
-82.274905,29.718477
-82.294579,29.695534
-82.280333,29.69268
-82.288821,29.675179
-82.282315,29.697475
-82.288343,29.694688
-80.70822,28.480291
-80.691449,28.469518
-80.716347,28.490775
-80.699032,28.485454
-80.725229,28.49112
-80.712831,28.473585
-80.712639,28.459751
-80.705832,28.477741
-80.709016,28.476896
-80.726336,28.483607
-80.712707,28.490598
-80.70669,28.487537
-80.723365,28.492603
-80.702834,28.120232
-80.7017,28.12878
-80.702519,28.127458
-80.696991,28.120026
-80.693687,28.121221
-80.705789,28.109566
-80.694418,28.122781
-80.710018,28.125374
-80.706344,28.125385
-80.699577,28.11306
-80.701961,28.119892
-80.727363,28.121359
-80.687847,28.119123
-80.702129,28.124289
-80.722564,28.121514
-80.696134,28.116244
-80.698249,28.133933
-80.697282,28.126058
-80.707071,28.131985
-80.694463,28.115945
-80.70591,28.120556
-80.71187,28.133085
-80.711471,28.10957
-80.689424,28.121581
-80.708467,28.123958
-80.709796,28.129608
-80.693972,28.127808
-80.714387,28.112842
-80.704755,28.106167
-80.65589,28.045769
-80.652094,28.043005
-80.660331,28.048204
-80.654413,28.048779
-80.645081,28.046452
-80.656456,28.028521
-80.65415,28.042743
-80.644052,28.053349
-80.64662,28.065396
-80.649357,28.053268
-80.664157,28.030202
-80.65742,28.049765
-80.661317,28.056046
-80.651749,28.051276
-80.64839,28.036275
-80.669081,28.040431
-80.650358,28.177559
-80.646805,28.163915
-80.63718,28.185778
-80.651139,28.171799
-80.65048,28.195181
-80.638933,28.173278
-80.638903,28.173996
-80.646759,28.173105
-80.661898,28.197586
-80.655558,28.18241
-80.644084,28.16214
-80.640795,28.164588
-80.644983,28.188476
-80.654744,28.180199
-80.647904,28.184221
-80.778052,28.431284
-80.789819,28.43511
-80.78491,28.43274
-80.774705,28.420288
-80.795619,28.44063
-80.777962,28.426051
-80.773572,28.437469
-80.787891,28.418856
-80.781413,28.431069
-80.766468,28.438175
-80.763509,28.436132
-80.788517,28.426305
-80.755137,28.363801
-80.749739,28.365526
-80.762583,28.368863
-80.766317,28.361992
-80.751989,28.379755
-80.74776,28.37291
-80.750927,28.375588
-80.764809,28.375292
-80.749174,28.361263
-80.753614,28.336107
-80.754847,28.376376
-80.758024,28.35869
-80.757723,28.383361
-80.745087,28.366664
-80.760524,28.352616
-80.762705,28.350659
-80.702129,28.124289
-80.70766,28.131203
-80.703559,28.133288
-80.697036,28.119737
-80.711411,28.128926
-80.688043,28.122984
-80.693039,28.125252
-80.706046,28.124816
-80.723,28.115209
-80.702849,28.114774
-80.699493,28.125686
-80.694005,28.128206
-80.707379,28.111895
-80.709992,28.130468
-80.679059,28.060952
-80.687607,28.068177
-80.667365,28.066851
-80.681341,28.056163
-80.684775,28.069017
-80.669681,28.049218
-80.681114,28.073965
-80.678714,28.058914
-80.697738,28.041863
-80.693848,28.046896
-80.674637,28.054791
-80.686891,28.064646
-80.676692,28.049057
-80.674741,28.05734
-80.697404,28.068863
-80.456044,27.775201
-80.464305,27.786872
-80.606615,28.394427
-80.611797,28.398608
-80.604661,28.397287
-80.603948,28.396581
-80.603687,28.37282
-80.610622,28.39993
-80.611395,28.399167
-80.616282,28.40625
-80.590196,28.397153
-80.60754,28.385814
-80.618422,28.385629
-80.595123,28.380214
-80.600662,28.410379
-80.61688,28.390144
-80.62283,28.386399
-80.73661,28.298185
-80.752405,28.294481
-80.72404,28.295578
-80.727934,28.302474
-80.743275,28.305307
-80.727053,28.302273
-80.742487,28.289163
-80.742212,28.306626
-80.740554,28.304056
-80.749683,28.300611
-80.745429,28.320056
-80.736675,28.323706
-80.707179,28.438737
-80.692854,28.448571
-80.718488,28.43814
-80.702111,28.439612
-80.697754,28.438751
-80.69835,28.453248
-80.708156,28.45009
-80.68213,28.427977
-80.715721,28.444086
-80.709675,28.446708
-80.71788,28.433925
-80.714024,28.427532
-80.71086,28.437697
-80.711183,28.436641
-80.616743,28.061165
-80.617356,28.069525
-80.617711,28.08133
-80.620925,28.048824
-80.633726,28.062584
-80.625377,28.05543
-80.62109,28.058124
-80.623645,28.0549
-80.631947,28.054864
-80.61915,28.055768
-80.590651,28.038304
-80.612723,28.056569
-80.625231,28.050544
-80.620471,28.062297
-80.608894,28.062975
-80.611725,28.066179
-80.702704,28.109893
-80.706993,28.104365
-80.703565,28.115638
-80.801545,28.356651
-80.789984,28.374371
-80.809136,28.343316
-80.802545,28.348827
-80.806775,28.344694
-80.803834,28.359326
-80.804596,28.339675
-80.785015,28.35576
-80.791884,28.341707
-80.809718,28.356694
-80.788978,28.356511
-80.795985,28.359844
-80.811193,28.358124
-80.790812,28.342537
-80.819528,28.361813
-80.799283,28.365344
-80.547235,28.045076
-80.547163,28.045002
-80.530273,28.052253
-80.558617,28.053086
-80.530726,28.042491
-80.546231,28.045613
-80.559745,28.045964
-80.547952,28.045229
-80.553814,28.054297
-80.545906,28.051329
-80.53352,28.03991
-80.549279,28.044048
-80.570369,28.045453
-80.5413,28.039219
-80.551253,28.052599
-80.544543,28.032933
-80.826125,28.625373
-80.826368,28.626123
-80.834828,28.642879
-80.824787,28.624688
-80.828012,28.622226
-80.838152,28.611151
-80.825179,28.63161
-80.832147,28.624555
-80.824533,28.630836
-80.817941,28.617179
-80.81567,28.641448
-80.825766,28.633808
-80.824837,28.629249
-80.82278,28.621479
-80.824216,28.629526
-80.811027,28.623638
-80.857793,28.695588
-80.845183,28.704199
-80.869997,28.68236
-80.858333,28.690955
-80.843638,28.692847
-80.836884,28.709061
-80.856212,28.699234
-80.853237,28.685537
-80.855578,28.689631
-80.87044,28.688272
-80.865119,28.691652
-80.857145,28.704961
-80.863189,28.697189
-80.857646,28.690541
-80.851189,28.701992
-80.778337,28.497622
-80.771947,28.49663
-80.802129,28.505197
-80.780613,28.507637
-80.755907,28.490296
-80.774417,28.496607
-80.78655,28.493422
-80.781636,28.489015
-80.767715,28.513105
-80.781913,28.499267
-80.772373,28.496733
-80.779574,28.517872
-80.778489,28.500448
-80.781343,28.497478
-80.781858,28.495587
-80.672656,28.133405
-80.675175,28.128554
